Year,Entity,Pred_Prevalence_Schizophrenia,Pred_Prevalence_Depression,Pred_Prevalence_Anxiety,Pred_Prevalence_Bipolar,Pred_Prevalence_Eating
2028-01-01,American Samoa,0.2964419830184279,2.8633205738741734,4.159239705968295,0.27972672258874814,0.1278592109444256
2029-01-01,American Samoa,0.2961440651912221,2.883699053805841,4.1647471215085625,0.2797263234495921,0.12784874021314183
2030-01-01,American Samoa,0.2958930963664495,2.903648959358237,4.169473397393602,0.27972595717924603,0.12784019227596655
2031-01-01,American Samoa,0.29568167783000776,2.9231793037648885,4.173529325910014,0.2797256210709882,0.12783321404035222
2032-01-01,American Samoa,0.2955035768344293,2.9422989107044124,4.17700998521353,0.2797253126409932,0.12782751725394745
2033-01-01,American Samoa,0.29535354285368237,2.961016418286992,4.179996968129558,0.27972502960997686,0.12782286659765904
2034-01-01,American Samoa,0.29522715279445977,2.979340282957018,4.182560294833677,0.27972476988635236,0.1278190699652463
2035-01-01,American Samoa,0.2951206806006889,2.9972787833136527,4.184760054248701,0.2797245315507735,0.12781597052792315
2036-01-01,American Samoa,0.2950309874071253,3.0148400238510473,4.186647812635571,0.2797243128419507,0.12781344025617813
2037-01-01,American Samoa,0.2949554290036894,3.032031938619896,4.188267822397938,0.2797241121436354,0.1278113746312159
2038-01-01,American Samoa,0.29489177788254006,3.048862294811988,4.189658059436966,0.27972392797267576,0.1278096883275637
2039-01-01,American Samoa,0.29483815756978426,3.065338696269373,4.190851113373792,0.27972375896805646,0.12780831168850318
2040-01-01,American Samoa,0.2947929873058814,3.0814685869197245,4.19187495150802,0.2797236038808408,0.12780718784873654
2020-01-01,Andorra,0.2860894650563419,3.636576724592302,5.453565064650176,0.9347625947521134,0.5237731969537033
2021-01-01,Andorra,0.2857758636066683,3.6581439261664963,5.453676213013384,0.9347281298804085,0.5259973194363068
2022-01-01,Andorra,0.2855465041790765,3.6739816277966413,5.453755882742297,0.9347044042936636,0.5277139789473689
2023-01-01,Andorra,0.28537875703670845,3.6856119170607626,5.453812988987698,0.9346880716210453,0.5290389598780372
2024-01-01,Andorra,0.2852560714158552,3.694152526773329,5.453853922015941,0.9346768282238755,0.5300616288786874
2025-01-01,Andorra,0.28516634254565404,3.700424255068806,5.453883262288436,0.9346690882793564,0.530850962416011
2026-01-01,Andorra,0.28510071733145553,3.705029848479124,5.4539042930214885,0.9346637601084969,0.5314601990632036
2027-01-01,Andorra,0.2850527208646668,3.7084119290894177,5.453919367582668,0.9346600922004601,0.531930430308592
2028-01-01,Andorra,0.2850176175762077,3.710895532880603,5.453930172835827,0.9346575672158599,0.5322933720737638
2029-01-01,Andorra,0.2849919440018159,3.7127193474203324,5.453937917903457,0.9346558290187277,0.5325735038731666
2030-01-01,Andorra,0.28497316705951264,3.7140586510109994,5.453943469469136,0.9346546324453822,0.5327897198961407
2031-01-01,Andorra,0.28495943412319147,3.715042157869235,5.453947448760598,0.9346538087253652,0.5329566033727413
2032-01-01,Andorra,0.28494939023335275,3.7157643882484686,5.453950301065957,0.9346532416772448,0.5330854101761374
2033-01-01,Andorra,0.28494204441009013,3.716294752339293,5.453952345562054,0.9346528513218278,0.5331848280031092
